participantId,Education,Food,Recreation,Shelter,Wage,Savings,educationLevel,age,joviality,AgeGroup,JovialityGroup
0,570.0806933045985,3868.580758034882,4870.355051117841,8324.82932533852,132432.16089781604,114798.3150700202,HighSchoolOrCollege,36,0.001626703,MiddleAgedAdults,LowJoviality
1,570.0806933045985,3912.7511404366146,7738.859696419048,8324.82932533852,116374.45992706734,95827.93907156856,HighSchoolOrCollege,25,0.3280865,YoungAdults,LowJoviality
2,192.18667527286482,4265.2187068394815,4988.619955131517,8348.29390861255,101992.0882695033,84197.76902364688,HighSchoolOrCollege,35,0.39346959,MiddleAgedAdults,MiddleJoviality
3,570.0806933045985,4189.6968148206115,5649.5135004101185,8324.82932533852,98577.28207137567,79843.16173750182,HighSchoolOrCollege,21,0.138063446,YoungAdults,LowJoviality
4,192.18667527286482,4017.282756708485,7492.829447750095,19860.79212869556,127810.19943126281,96247.1084228358,Bachelors,43,0.857396691,MiddleAgedAdults,HighJoviality
5,192.18667527286482,5068.693281811007,6113.979035069644,9000.504370222905,25760,5384.63663762358,HighSchoolOrCollege,32,0.772957791,MiddleAgedAdults,HighJoviality
6,192.18667527286482,4710.354112211335,9057.174335398575,8717.879836858418,26113.48756414367,3435.8926044024793,HighSchoolOrCollege,26,0.833980668,YoungAdults,HighJoviality
7,192.18667527286482,7505.596343412715,6893.988450225843,15198.029209638902,86534.50633720026,56744.705658649924,Bachelors,27,0.958189409,YoungAdults,HighJoviality
8,192.18667527286482,7339.836253184554,6451.658909450681,17694.45639028356,51343.81439349869,19665.676165307024,Bachelors,20,0.697554819,YoungAdults,HighJoviality
9,1367.1527077321841,4229.183874217129,5624.512664380332,8370.034257332896,184621.1124395648,165030.22893590224,Bachelors,35,0.467131409,MiddleAgedAdults,MiddleJoviality
10,192.18667527286482,5827.9785648885545,3733.8230249428884,8413.514954773585,95178.87297842043,77011.36975854254,HighSchoolOrCollege,48,0.557176006,OldAdults,MiddleJoviality
11,1097.9677822096717,4235.12167939151,6271.017222327299,8342.587067073458,96319.91792285707,76373.22417185514,HighSchoolOrCollege,27,0.25422732,YoungAdults,LowJoviality
12,570.0806933045985,3984.7989869614094,7632.55614006467,8353.241712114423,91627.3816095694,71086.7040771243,HighSchoolOrCollege,34,0.241615182,MiddleAgedAdults,LowJoviality
13,192.18667527286482,6692.023511170964,7853.047564235037,19523.458581571962,83024.29283999746,48763.576507746635,Bachelors,18,0.724503834,NA,HighJoviality
14,192.18667527286482,6430.129585072542,6097.807503599099,17036.058012970687,102743.83557337937,72987.65379646418,Graduate,38,0.930003289,MiddleAgedAdults,HighJoviality
